Year ,site,crops_practices,GrainC1,LeafC1,StemC1,RootC1,GrainC2,LeafC2,StemC2,RootC2,GrainC3,LeafC3,StemC3,RootC3,%SOC_10cm,%SOC_20cm,%SOC_30cm,%SOC_40cm,%SOC_50cm,kgSOC_10cm,kgSOC_20cm,kgSOC_30cm,kgSOC_40cm,kgSOC_50cm,IniSOC     ,End_SOC    ,dSOC       ,GWP,CO2_GWP,CH4_GWP,N2O_GWP,ShootLitterC_input,RootLitterC_input,ManureC_input,RootExudation_DOC,Soil-CO2,Leach_C    ,Runoff_C   ,CH4,IniSON     ,IniSIN     ,EndSON     ,EndSIN     ,dSN        ,Atmo_N_input,Fertilizer_N_input,Manure_N_input,Litter_N_input,N_fixation ,Crop_N_uptake,Leach_NO3,Runoff_SON ,Leach_DON  ,N2O_flux,NO_flux    ,N2_flux,NH3_flux,exchengeable-NH4,PET        ,Transpiration,Evaporation,WaterLeach ,Runoff     ,Irrigation ,Precipitation,DeepWater  ,MeanT      ,WindSpeed  ,ColdStress ,WaterStress,N_Stress   ,Cut_CropC  ,yr_end_grain,yr_end_leaf,yr_end_stem,yr_end_root,yr_end_stub
1,sd,organic,0,1081.64,1081.64,865.31,0,0,0,0,0,0,0,0,0.0138,0.0074,0.0022,0.0006,0.0002,15842.18,8558.94,2502.64,735.44,265.3,27021.44,27904.49,883.05,-3219.53886,-3232.032342,0,12.49348178,930.34,24.84,312.3,87.58,471.94,0.06,0,0,2677.82,1.21,2699.44,7.7,28.11,0,0,14.67,29.14,22.94,31.26,0.04,0,0,0.03,0.01,0.06,4.78,3.08,1288.66,52.47,518.44,0,0,0,539.8,20.87,14.35,2,1,0.19,0.47,0,0,279.8,279.8,694.5,0
2,sd,organic,0,1098.25,1098.25,878.6,0,0,0,0,0,0,0,0,0.0141,0.0074,0.0022,0.0006,0.0002,16260.93,8521.39,2490.39,732.57,268.73,27904.49,28274.02,369.52,-1256.688857,-1352.472217,0,95.78336033,819.66,72.52,691.56,229.54,1443.6,0.11,0,0,2699.44,7.7,2728.96,8.86,30.68,0,0,32.47,31.65,21.23,36.03,0.17,0,0,0.23,0.01,0.35,10.74,3.45,1288.58,60.22,442.23,0,0,0,539.8,0.09,14.35,2,1,0.18,0.49,0,0,222.68,222.68,1118.16,0
3,sd,organic,0,1052.55,1052.55,842.04,0,0,0,0,0,0,0,0,0.0144,0.0074,0.0022,0.0006,0.0002,16538.89,8482.46,2477.01,728.03,268.47,28274.02,28494.85,220.84,-662.534454,-808.2917415,0,145.7572875,721.32,100.05,657.69,307.85,1565.97,0.11,0,0,2728.96,8.86,2752.85,9.35,24.37,0,0,30.87,32.12,19.68,35.88,0.19,0,0,0.35,0.02,0.51,11.48,3.47,1288.62,59.73,427.38,0,0,0,539.8,0.09,14.35,2,1,0.17,0.49,0,0,205.54,205.54,1333.58,0
4,sd,organic,0,1062.63,1062.63,850.1,0,0,0,0,0,0,0,0,0.0146,0.0073,0.0021,0.0006,0.0002,16814.94,8444.36,2463.98,723.49,267.72,28494.85,28714.5,219.65,-604.0405395,-803.9362481,0,199.8957086,721.82,114.83,647.4,350.69,1615.03,0.12,0,0,2752.85,9.35,2774.45,9.81,22.07,0,0,30.37,33.86,19.65,36.65,0.21,0,0,0.48,0.02,0.71,12.46,3.47,1288.61,60.76,426.14,0,0,0,539.8,0.09,14.35,2,1,0.16,0.5,0,0,209.33,209.33,1464.83,0
5,sd,organic,0,1074.68,1074.68,859.74,0,0,0,0,0,0,0,0,0.0148,0.0073,0.0021,0.0006,0.0002,17080.94,8406.97,2451.32,719.05,266.65,28714.5,28924.92,210.42,-520.2840876,-770.1537233,0,249.8696357,739.53,123.97,649.68,377.31,1679.94,0.12,0,0,2774.45,9.81,2794.76,10.25,20.75,0,0,30.47,35.43,19.69,37.43,0.23,0,0,0.6,0.02,0.88,13.48,3.46,1288.6,61.8,424.43,0,0,0,539.8,0.09,14.35,2,1,0.16,0.5,0,0,213.87,213.87,1548.65,0
6,sd,organic,0,1088.42,1088.42,870.73,0,0,0,0,0,0,0,0,0.0151,0.0073,0.0021,0.0006,0.0002,17336.65,8370.28,2439.01,714.73,265.49,28924.92,29126.16,201.24,-432.5461456,-736.5542024,0,304.0080568,759.86,129.95,652.4,394.88,1735.72,0.12,0,0,2794.76,10.25,2813.96,10.68,19.63,0,0,30.59,36.69,19.8,38.18,0.25,0,0,0.73,0.02,1.06,14.42,3.46,1288.59,62.8,423.4,0,0,0,539.8,0.09,14.35,2,1,0.16,0.5,0,0,219.03,219.03,1606.12,0
7,sd,organic,0,1102.02,1102.02,881.61,0,0,0,0,0,0,0,0,0.0153,0.0072,0.0021,0.0006,0.0002,17582.08,8334.23,2427.02,710.53,264.3,29126.16,29318.16,192,-348.753093,-702.7350769,0,353.9819839,780.47,134.14,655.5,407.29,1785.33,0.13,0,0,2813.96,10.68,2832.17,11.08,18.62,0,0,30.72,37.75,19.9,38.93,0.27,0,0,0.85,0.03,1.23,15.27,3.45,1288.58,63.77,422.26,0,0,0,539.8,0.09,14.35,2,1,0.16,0.5,0,0,224.15,224.15,1648.26,0
8,sd,organic,0,1116.6,1116.6,893.28,0,0,0,0,0,0,0,0,0.0155,0.0072,0.0021,0.0006,0.0002,17819.09,8298.77,2415.3,706.42,263.1,29318.16,29502.68,184.52,-271.4017784,-675.3576895,0,403.9559111,802.28,137.33,658.58,416.8,1830.32,0.13,0,0,2832.17,11.08,2849.52,11.47,17.74,0,0,30.85,38.72,20.04,39.69,0.29,0,0,0.97,0.03,1.39,16.01,3.44,1288.57,64.75,421.34,0,0,0,539.8,0.09,14.35,2,1,0.16,0.5,0,0,229.64,229.64,1682.16,0
9,sd,organic,0,1131.99,1131.99,905.59,0,0,0,0,0,0,0,0,0.0157,0.0072,0.0021,0.0006,0.0002,18049.21,8263.9,2403.84,702.42,261.93,29502.68,29681.3,178.62,-203.9978819,-653.7632262,0,449.7653443,825.34,139.98,661.87,424.82,1873.28,0.13,0,0,2849.52,11.47,2866.19,11.84,17.04,0,0,31,39.66,20.21,40.42,0.31,0,0,1.08,0.03,1.56,16.68,3.43,1288.56,65.7,420.76,0,0,0,539.8,0.09,14.35,2,1,0.17,0.5,0,0,235.42,235.42,1711.82,0
10,sd,organic,0,1144.53,1144.53,915.63,0,0,0,0,0,0,0,0,0.0159,0.0072,0.0021,0.0006,0.0002,18269.97,8229.5,2392.59,698.5,260.74,29681.3,29851.3,170,-122.4740779,-622.2133493,0,499.7392714,845.06,142.27,665.35,431.71,1914.23,0.13,0,0,2866.19,11.84,2882.14,12.2,16.31,0,0,31.15,40.47,20.32,41.08,0.33,0,0,1.2,0.03,1.72,17.3,3.42,1288.55,66.51,419.83,0,0,0,539.8,0.09,14.35,2,1,0.17,0.5,0,0,240.14,240.14,1737.16,0
11,sd,organic,0,1156.38,1156.38,925.1,0,0,0,0,0,0,0,0,0.0161,0.0071,0.0021,0.0006,0.0002,18482.64,8195.6,2381.55,694.66,259.55,29851.3,30013.99,162.69,-49.90947063,-595.4581753,0,545.5487047,863.18,144.26,668.19,437.71,1950.5,0.14,0,0,2882.14,12.2,2897.41,12.55,15.62,0,0,31.27,41.19,20.42,41.71,0.35,0,0,1.31,0.03,1.87,17.84,3.41,1288.54,67.26,418.93,0,0,0,539.8,0.09,14.35,2,1,0.17,0.5,0,0,244.59,244.59,1759.55,0
12,sd,organic,0,1167.82,1167.82,934.26,0,0,0,0,0,0,0,0,0.0162,0.0071,0.0021,0.0006,0.0001,18688.17,8162.14,2370.68,690.88,258.38,30013.99,30170.26,156.27,19.39766663,-571.9604712,0,591.3581378,880.68,146.04,670.82,443.12,1984.23,0.14,0,0,2897.41,12.55,2912.09,12.88,15.01,0,0,31.38,41.87,20.53,42.28,0.37,0,0,1.42,0.03,2.02,18.33,3.4,1288.53,67.93,418.3,0,0,0,539.8,0.09,14.35,2,1,0.17,0.5,0,0,248.88,248.88,1779.97,0
13,sd,organic,0,1178.28,1178.28,942.63,0,0,0,0,0,0,0,0,0.0164,0.0071,0.0021,0.0006,0.0001,18886.91,8129.1,2359.99,687.16,257.21,30170.26,30320.38,150.12,87.71658285,-549.4509882,0,637.1675711,896.88,147.66,673.36,448.02,2015.65,0.14,0,0,2912.09,12.88,2926.19,13.19,14.41,0,0,31.49,42.5,20.62,42.83,0.39,0,0,1.53,0.03,2.17,18.78,3.39,1288.52,68.55,417.55,0,0,0,539.8,0.09,14.35,2,1,0.17,0.51,0,0,252.82,252.82,1798.62,0
14,sd,organic,0,1190.28,1190.28,952.22,0,0,0,0,0,0,0,0,0.0166,0.007,0.002,0.0006,0.0001,19081.62,8096.49,2349.43,683.51,256.06,30320.38,30467.1,146.73,141.7691883,-537.043322,0,678.8125103,914.72,149.2,675.67,452.71,2045.42,0.14,0,0,2926.19,13.19,2939.81,13.49,13.93,0,0,31.59,43.16,20.75,43.4,0.41,0,0,1.63,0.04,2.31,19.18,3.38,1288.51,69.21,416.99,0,0,0,539.8,0.09,14.35,2,1,0.17,0.51,0,0,257.33,257.33,1817.23,0
15,sd,organic,0,1200.1,1200.1,960.08,0,0,0,0,0,0,0,0,0.0168,0.007,0.002,0.0006,0.0001,19269.84,8064.24,2339.01,679.9,254.96,30467.1,30607.95,140.85,204.9353894,-515.5220603,0,720.4574497,930.27,150.68,678.33,457.24,2075.5,0.14,0,0,2939.81,13.49,2953.01,13.78,13.48,0,0,31.7,43.76,20.85,43.88,0.43,0,0,1.73,0.04,2.44,19.55,3.37,1288.5,69.72,416.45,0,0,0,539.8,0.09,14.35,2,1,0.17,0.51,0,0,261.02,261.02,1834.41,0
16,sd,organic,0,1209.59,1209.59,967.67,0,0,0,0,0,0,0,0,0.0169,0.007,0.002,0.0006,0.0001,19453.11,8032.37,2328.73,676.34,253.84,30607.95,30744.38,136.43,258.5933818,-499.3445132,0,757.937895,944.81,152.06,680.5,461.42,2102.22,0.14,0,0,2953.01,13.78,2965.77,14.05,13.03,0,0,31.79,44.31,20.94,44.36,0.45,0,0,1.82,0.04,2.56,19.88,3.36,1288.49,70.23,415.66,0,0,0,539.8,0.09,14.35,2,1,0.17,0.51,0,0,264.59,264.59,1850.55,0
17,sd,organic,0,1221.31,1221.31,977.05,0,0,0,0,0,0,0,0,0.0171,0.007,0.002,0.0006,0.0001,19721.69,8001.33,2318.62,672.84,252.75,30744.38,30967.22,222.84,-28.5225461,-815.6118986,0,787.0893525,1142.02,153.43,548.76,465.61,2086.81,0.14,0,0,2965.77,14.05,2979.65,13.38,13.21,0,0,25.63,49.96,21.08,44.88,0.41,0,0,1.89,0.04,2.68,18.55,3.33,1288.42,70.8,415.45,0,0,0,539.8,0.09,14.35,2,1,0.17,0.51,0,0,323.3,323.3,1867.52,0
18,sd,organic,0,1239.47,1239.47,991.58,0,0,0,0,0,0,0,0,0.0173,0.0069,0.002,0.0006,0.0001,19869.91,7969.58,2308.44,669.34,251.01,30967.23,31068.29,101.06,396.379347,-369.8875358,0,766.2668828,1028.8,155,716.6,470.4,2269.57,0.15,0,0,2979.65,13.38,2994.15,14.55,15.67,0,0,33.46,46.96,21.41,45.48,0.48,0,0,1.84,0.04,2.56,20.59,3.36,1288.47,71.48,412.35,0,0,0,539.8,0.09,14.35,2,1,0.17,0.51,0,0,275.83,275.83,1889.2,0
19,sd,organic,0,1256.07,1256.07,1004.86,0,0,0,0,0,0,0,0,0.0174,0.0069,0.002,0.0006,0.0001,20044.47,7938.38,2298.48,665.91,250.38,31068.28,31197.62,129.34,392.8201807,-473.3945565,0,866.2147372,1013.65,156.85,689.22,476.32,2206.53,0.15,0,0,2994.15,14.55,3006.5,14.84,12.64,0,0,32.17,46.74,21.61,46.25,0.5,0,0,2.08,0.04,2.9,20.75,3.34,1288.45,72.43,415.42,0,0,0,539.8,0.09,14.35,2,1,0.17,0.51,0,0,282.06,282.06,1912.57,0
20,sd,organic,0,1257.97,1257.97,1006.37,0,0,0,0,0,0,0,0,0.0176,0.0069,0.002,0.0006,0.0001,20211.35,7907.58,2288.6,662.5,249.36,31197.63,31319.39,121.77,464.7964083,-445.687762,-1.54,912.0241703,1020.6,158.47,692.86,480.92,2230.91,0.15,0,-0.01,3006.5,14.84,3018.43,15.09,12.18,0,0,32.33,47.11,21.55,46.48,0.52,0,0,2.19,0.04,3.05,21.03,3.33,1288.45,72.54,413.62,0,0,0,539.8,0.09,14.35,2,1,0.17,0.51,0,0,282.79,282.79,1927.33,0
1,sd,compost,0,1133.97,1133.97,907.17,0,0,0,0,0,0,0,0,0.0139,0.0074,0.0022,0.0006,0.0002,16037.48,8558.56,2502.78,735.6,265.64,27021.44,28100.06,1078.62,-3114.935113,-3947.833899,0,832.8987855,995.65,26.06,626.3,93.13,662.45,0.07,0,0,2677.82,1.21,2709.99,8.16,39.12,0,0,35.6,31.12,22.94,35.15,0.15,0,0,2,0.01,2.95,8.83,3.15,1288.62,59.01,512.45,0,0,0,539.8,19.49,14.35,2,1,0.19,0.48,0,0,299.47,299.47,728.63,0
2,sd,compost,0,1108.14,1108.14,886.51,0,0,0,0,0,0,0,0,0.0143,0.0074,0.0022,0.0006,0.0002,16401.93,8520.17,2490.42,732.62,268.31,28100.06,28413.45,313.39,-1009.603709,-1147.032009,0,137.4282997,846.87,75.05,702.91,236.99,1548.27,0.12,0,0,2709.99,8.16,2740.27,8.95,31.07,0,0,33,32.71,21.36,36.49,0.18,0,0,0.33,0.02,0.49,11.11,3.47,1288.58,61,438.31,0,0,0,539.8,0.06,14.35,2,1,0.18,0.49,0,0,226.4,226.4,1144.37,0
3,sd,compost,0,1068.54,1068.54,854.84,0,0,0,0,0,0,0,0,0.0145,0.0074,0.0022,0.0006,0.0002,16673.54,8480.91,2477.02,728.07,268.3,28413.45,28627.83,214.39,-634.7624536,-784.684235,0,149.9217814,743.92,102.19,659.93,314.5,1606.04,0.12,0,0,2740.27,8.95,2764.28,9.47,24.54,0,0,30.97,33.01,19.96,36.47,0.2,0,0,0.36,0.02,0.54,11.75,3.48,1288.61,60.71,428.09,0,0,0,539.8,0.06,14.35,2,1,0.17,0.49,0,0,211.55,211.55,1359.17,0
4,sd,compost,0,1125.44,1125.44,900.35,0,0,0,0,0,0,0,0,0.0149,0.0073,0.0021,0.0006,0.0002,17136.24,8441.26,2463.93,723.53,266.77,28627.84,29031.73,403.89,-528.7645005,-1478.269116,0,949.5046155,804.4,118.02,965.01,361.6,1845.04,0.13,0,0,2764.28,9.47,2796.36,10.53,33.13,0,0,51.48,36.56,19.85,40.88,0.38,0,0,2.28,0.03,3.32,17.37,3.52,1288.56,67.78,414.92,0,0,0,539.8,0.06,14.35,2,1,0.17,0.5,0,0,232.97,232.97,1520.61,0
5,sd,compost,0,1107.1,1107.1,885.68,0,0,0,0,0,0,0,0,0.0151,0.0073,0.0021,0.0006,0.0002,17361.83,8402.98,2451.26,719.08,265.84,29031.73,29200.99,169.26,-307.1678465,-619.5048912,0,312.3370447,796.65,128.49,663.88,391.25,1810.88,0.13,0,0,2796.36,10.53,2817.76,10.5,21.37,0,0,31.14,37.57,20.24,38.67,0.25,0,0,0.75,0.02,1.09,14.14,3.48,1288.58,63.85,423.88,0,0,0,539.8,0.06,14.35,2,1,0.17,0.5,0,0,226.05,226.05,1602.08,0
6,sd,compost,0,1110.37,1110.37,888.3,0,0,0,0,0,0,0,0,0.0153,0.0073,0.0021,0.0006,0.0002,17599.79,8365.91,2438.94,714.74,265.01,29200.99,29384.4,183.41,-346.4644759,-671.2950023,0,324.8305264,795.86,134.07,659.72,407.41,1813.5,0.13,0,0,2817.76,10.5,2837.03,10.99,19.76,0,0,30.93,38.19,20.12,39.11,0.27,0,0,0.78,0.02,1.13,14.98,3.46,1288.57,64.32,423.41,0,0,0,539.8,0.06,14.35,2,1,0.17,0.5,0,0,227.28,227.28,1651.36,0
7,sd,compost,0,1117.36,1117.36,893.89,0,0,0,0,0,0,0,0,0.0155,0.0072,0.0021,0.0006,0.0002,17832.55,8329.71,2426.94,710.53,263.87,29384.39,29563.6,179.21,-268.6247372,-655.9226725,0,387.2979353,805.43,137.56,660.46,417.54,1841.67,0.13,0,0,2837.03,10.99,2854.9,11.41,18.29,0,0,30.95,38.85,20.08,39.68,0.29,0,0,0.93,0.03,1.34,15.81,3.45,1288.57,65.01,421.76,0,0,0,539.8,0.06,14.35,2,1,0.17,0.5,0,0,229.92,229.92,1684.45,0
8,sd,compost,0,1186.09,1186.09,948.87,0,0,0,0,0,0,0,0,0.0159,0.0072,0.0021,0.0006,0.0002,18260.09,8292.98,2415.15,706.44,261.83,29563.6,29936.48,372.88,-152.902348,-1364.770081,0,1211.867733,893.01,141.39,976.05,430.3,2067.74,0.14,0,0,2854.9,11.41,2882.59,12.39,28.67,0,0,51.95,41.74,20.25,44.37,0.5,0,0,2.91,0.03,4.21,20.48,3.48,1288.51,72.39,409.87,0,0,0,539.8,0.06,14.35,2,1,0.17,0.51,0,0,255.78,255.78,1748.43,0
9,sd,compost,0,1167.63,1167.63,934.1,0,0,0,0,0,0,0,0,0.016,0.0072,0.0021,0.0006,0.0002,18445.3,8257.28,2403.66,702.42,260.9,29936.48,30069.56,133.08,54.30096062,-487.0832501,0,541.3842107,888.64,145.28,677.42,441.07,2019.22,0.14,0,0,2882.59,12.39,2900,12.27,17.3,0,0,31.73,42.06,20.73,41.96,0.35,0,0,1.3,0.03,1.85,17.46,3.44,1288.53,68.19,419.56,0,0,0,539.8,0.06,14.35,2,1,0.17,0.5,0,0,248.8,248.8,1773.41,0
10,sd,compost,0,1167.28,1167.28,933.83,0,0,0,0,0,0,0,0,0.0162,0.0071,0.0021,0.0006,0.0002,18642.04,8222.56,2392.4,698.48,259.94,30069.56,30215.41,145.85,11.72625177,-533.8224529,0,545.5487047,883.08,146.96,673.31,445.83,2003.18,0.14,0,0,2900,12.27,2915.61,12.69,16.03,0,0,31.52,42.08,20.59,42.18,0.36,0,0,1.31,0.03,1.87,17.97,3.43,1288.53,68.3,418.85,0,0,0,539.8,0.06,14.35,2,1,0.17,0.5,0,0,248.69,248.69,1787.65,0
11,sd,compost,0,1171.38,1171.38,937.1,0,0,0,0,0,0,0,0,0.0164,0.0071,0.0021,0.0006,0.0002,18835.98,8188.54,2381.33,694.63,258.87,30215.42,30359.35,143.94,77.01991677,-526.8317029,0,603.8516197,888.11,148.02,673.24,448.97,2014.24,0.14,0,0,2915.61,12.69,2930.11,13.05,14.85,0,0,31.51,42.33,20.53,42.58,0.38,0,0,1.45,0.03,2.06,18.49,3.41,1288.52,68.67,418.06,0,0,0,539.8,0.06,14.35,2,1,0.17,0.5,0,0,250.22,250.22,1798.55,0
12,sd,compost,0,1240.48,1240.48,992.39,0,0,0,0,0,0,0,0,0.0167,0.0071,0.0021,0.0006,0.0001,19231.6,8153.97,2370.33,690.87,256.92,30359.35,30703.69,344.34,193.0969418,-1260.311439,0,1453.408381,975.44,150.36,988.14,457.33,2226.79,0.15,0,0,2930.11,13.05,2954.84,13.97,25.65,0,0,52.47,45.04,20.69,47.27,0.62,0,0,3.49,0.04,5.01,22.48,3.44,1288.47,75.95,406.47,0,0,0,539.8,0.06,14.35,2,1,0.17,0.51,0,0,276.23,276.23,1849.95,0
13,sd,compost,0,1219.7,1219.7,975.76,0,0,0,0,0,0,0,0,0.0169,0.0071,0.0021,0.0006,0.0001,19386.82,8120.21,2359.57,687.14,256,30703.69,30809.74,106.05,357.2930854,-388.1513276,0,745.444413,968.54,153.35,689.46,465.48,2170.63,0.15,0,0,2954.84,13.97,2969.59,13.77,14.55,0,0,32.24,45.18,21.21,44.63,0.44,0,0,1.79,0.04,2.53,19.62,3.4,1288.48,71.44,416.35,0,0,0,539.8,0.06,14.35,2,1,0.17,0.51,0,0,268.39,268.39,1866.13,0
14,sd,compost,0,1218.63,1218.63,974.9,0,0,0,0,0,0,0,0,0.017,0.007,0.002,0.0006,0.0001,19556.88,8087.27,2348.99,683.47,255.17,30809.74,30931.78,122.03,302.9695248,-446.6393824,0,749.6089072,961.48,154.42,684.84,468.49,2147.03,0.15,0,0,2969.59,13.77,2982.8,14.12,13.57,0,0,32.02,45.09,21.1,44.75,0.45,0,0,1.8,0.04,2.53,19.93,3.39,1288.48,71.37,416.17,0,0,0,539.8,0.06,14.35,2,1,0.17,0.51,0,0,267.98,267.98,1874.79,0
15,sd,compost,0,1221.85,1221.85,977.48,0,0,0,0,0,0,0,0,0.0172,0.007,0.002,0.0006,0.0001,19727.56,8054.89,2338.56,679.85,254.12,30931.78,31054.97,123.2,344.496666,-450.9216743,0,795.4183403,965.17,155.08,684.6,470.41,2151.88,0.15,0,0,2982.8,14.12,2995.16,14.42,12.65,0,0,32,45.25,21.04,45.07,0.47,0,0,1.91,0.04,2.68,20.28,3.37,1288.48,71.61,415,0,0,0,539.8,0.06,14.35,2,1,0.17,0.51,0,0,269.21,269.21,1881.91,0
16,sd,compost,0,1289.84,1289.84,1031.87,0,0,0,0,0,0,0,0,0.0175,0.007,0.002,0.0006,0.0001,20101.85,8021.91,2328.11,676.3,252.26,31054.98,31380.44,325.46,477.2129083,-1191.209157,-1.54,1669.962065,1050.88,157.14,999.32,477.86,2359.6,0.16,0,-0.01,2995.16,14.42,3018.04,15.29,23.75,0,0,52.95,47.87,21.19,49.69,0.73,0,0,4.01,0.05,5.7,23.81,3.4,1288.43,78.66,403.93,0,0,0,539.8,0.06,14.35,2,1,0.17,0.51,0,0,294.79,294.79,1930.38,0
17,sd,compost,0,1267.93,1267.93,1014.35,0,0,0,0,0,0,0,0,0.0177,0.0069,0.002,0.0006,0.0001,20325.66,7990.2,2317.87,672.79,251.27,31380.44,31557.79,177.36,273.8261249,-649.1515273,-1.54,924.5176522,1222.65,159.9,566.37,485.36,2256.77,0.16,0,-0.01,3018.04,15.29,3032.55,14.06,13.27,0,0,26.45,52.98,21.73,46.93,0.47,0,0,2.22,0.04,3.12,19.46,3.34,1288.38,74.02,413.68,0,0,0,539.8,0.06,14.35,2,1,0.17,0.51,0,0,340.83,340.83,1944.14,0
18,sd,compost,0,1271.52,1271.52,1017.22,0,0,0,0,0,0,0,0,0.0178,0.0069,0.002,0.0006,0.0001,20447.16,7958.12,2307.62,669.29,249.84,31557.79,31632.02,74.22,583.1547214,-271.6510281,-3.08,857.8857495,1082.5,160.92,726.52,488.3,2383.85,0.16,0,-0.02,3032.55,14.06,3046.56,15.31,15.27,0,0,33.92,49.16,21.8,47.02,0.53,0,0,2.06,0.05,2.84,21.37,3.36,1288.44,73.9,411.48,0,0,0,539.8,0.06,14.35,2,1,0.17,0.51,0,0,287.88,287.88,1954.44,0
19,sd,compost,0,1282.95,1282.95,1026.36,0,0,0,0,0,0,0,0,0.0179,0.0069,0.002,0.0006,0.0001,20604.21,7926.81,2297.6,665.84,249.24,31632.02,31743.69,111.67,554.3616228,-408.7209689,-3.08,966.1625917,1056.22,161.88,696.22,491.44,2293.92,0.16,0,-0.02,3046.56,15.31,3058.04,15.61,11.77,0,0,32.5,48.52,21.88,47.66,0.55,0,0,2.32,0.05,3.2,21.52,3.34,1288.43,74.64,414.16,0,0,0,539.8,0.06,14.35,2,1,0.17,0.51,0,0,292.16,292.16,1967.85,0
20,sd,compost,0,1338.95,1338.95,1071.16,0,0,0,0,0,0,0,0,0.0182,0.0069,0.002,0.0006,0.0001,20957.08,7894.95,2287.54,662.45,247.4,31743.69,32049.41,305.72,746.2785672,-1118.959207,-4.62,1869.857774,1129.28,164.09,1012.69,498.97,2499.17,0.16,0,-0.03,3058.04,15.61,3079.93,16.47,22.75,0,0,53.53,50.8,21.77,51.93,0.83,0,0,4.49,0.05,6.32,24.8,3.36,1288.39,81.04,401.91,0,0,0,539.8,0.06,14.35,2,1,0.17,0.52,0,0,313.25,313.25,2012.15,0
1,sd,compost_trees,0,834.69,834.69,667.75,107.14,96.3,96.3,160.5,0,0,0,0,0.0137,0.0074,0.0022,0.0006,0.0002,15702.99,8562.13,2507.28,739.44,269.33,27021.44,27781.17,759.73,-1647.92911,-2780.671458,0,1132.742348,507.94,19.08,782.45,110.02,659.71,0.05,0,0,2677.82,1.21,2700.52,4.33,25.82,0,0,42.29,16.56,16.18,33.44,0.14,0,0,2.72,0.01,4.01,8.12,2.36,1288.81,224.26,376.64,0,0,0,539.8,0.09,14.35,2,1,0.15,0.49,0,107.14,248.64,248.64,693.88,0
